id_mutation,valeur_fonciere,surface_reelle_bati,prix_m2,nombre_pieces_principales,type_local,nom_commune,nom_iris,code_commune,code_departement,code_iris,id_parcelles,longitude,latitude,date_mutation
2019-1076245,420500.0,48,8760,2,appartement,Paris 13e Arrondissement,Croulebarbe 4,75113,75,751135204,75113000EP0022,2.346181,48.833767,2019-06-19
2019-1092971,418000.0,61,6852,3,appartement,Paris 18e Arrondissement,Goutte d'Or 10,75118,75,751187110,75118000CN0064,2.356571,48.89727,2019-06-14
2018-1406426,342000.0,34,10058,1,appartement,Paris 20e Arrondissement,Pere Lachaise 15,75120,75,751207915,75120000CD0114,2.397794,48.86799600000001,2018-06-28
2019-1070149,1480000.0,146,10136,5,appartement,Paris 9e Arrondissement,Saint-Georges 7,75109,75,751093307,75109000AC0117,2.334025,48.88048,2019-05-02
2019-1082048,290000.0,32,9062,2,appartement,Paris 15e Arrondissement,Javel 3,75115,75,751156003,75115000EU0063,2.283231,48.837322,2019-11-08
2018-1374091,255150.0,25,10206,2,appartement,Paris 9e Arrondissement,Rochechouart 2,75109,75,751093602,75109000AZ0085,2.344343,48.878353,2018-06-29
2018-1405234,245000.0,26,9423,2,appartement,Paris 19e Arrondissement,Combat 4,75119,75,751197604,75119000EE0052,2.381284,48.87549,2018-04-03
2018-1398936,425000.0,48,8854,3,appartement,Paris 17e Arrondissement,Epinettes 9,75117,75,751176809,75117000DQ0036,2.328581,48.897377,2018-11-26
2018-1383045,203000.0,24,8458,2,appartement,Paris 13e Arrondissement,Gare 19,75113,75,751135019,75113000BH0039,2.370623,48.828632,2018-06-29
2018-1401847,458000.0,45,10177,3,appartement,Paris 18e Arrondissement,Grandes Carrieres 12,75118,75,751186912,75118000AV0075,2.339323,48.89098,2018-07-23
2018-1400791,385000.0,34,11323,2,appartement,Paris 18e Arrondissement,Clignancourt 4,75118,75,751187004,75118000BO0112,2.340879,48.884357,2018-05-02
2018-1378979,527000.0,48,10979,2,appartement,Paris 11e Arrondissement,Saint-Ambroise 9,75111,75,751114209,75111000AP0048,2.370226,48.86206,2018-06-26
2018-1406221,512000.0,75,6826,3,appartement,Paris 19e Arrondissement,Pont de Flandre 8,75119,75,751197408,75119000BM0014,2.375232,48.894306,2018-06-19
2018-1390122,510850.0,45,11352,3,appartement,Paris 15e Arrondissement,Necker 10,75115,75,751155810,75115000BX0024,2.298778,48.844067,2018-10-31
2018-1392965,1269150.0,124,10235,4,appartement,Paris 16e Arrondissement,Muette 11,75116,75,751166211,75116000CI0109,2.2753650000000003,48.85736,2018-06-22
2019-1090247,802000.0,79,10151,4,appartement,Paris 17e Arrondissement,Plaine Monceau 11,75117,75,751176611,75117000BV0046,2.305613,48.887875,2019-11-04
2018-1369941,360000.0,31,11612,2,appartement,Paris 5e Arrondissement,Saint-Victor 3,75105,75,751051703,75105000AI0012,2.351119,48.846893,2018-06-12
2018-1368760,390000.0,30,13000,2,appartement,Paris 7e Arrondissement,Saint-Thomas d'Aquin 6,75107,75,751072506,75107000AC0027,2.331008,48.857674,2018-01-30
2018-1386026,210000.0,24,8750,1,appartement,Paris 14e Arrondissement,Plaisance 15,75114,75,751145615,75114000CQ0193,2.319292,48.831207,2018-11-08
2019-1064058,800000.0,70,11428,2,appartement,Paris 3e Arrondissement,Arts et Metiers 5,75103,75,751030905,75103000AD0029,2.354699,48.86476,2019-05-29
2019-1085710,495000.0,55,9000,2,appartement,Paris 16e Arrondissement,Porte Dauphine 11,75116,75,751166311,75116000ET0021,2.2833810000000003,48.874485,2019-09-06
2019-1067281,725000.0,53,13679,4,appartement,Paris 6e Arrondissement,Monnaie 3,75106,75,751062103,75106000AE0037,2.342053,48.853794,2019-05-10
